k10,k_kinetics,xNH3_r2,xNO3_r2,xNO2_r2,xNOrg_r2,xN2_r2,ANH3_r2,ANO3_r2,ANO2_r2,ANOrg_r2,AN2_r2,r2_mean,r2_all
48,00000110000,-0.6972693696903542,-0.27072617521154374,-1.8166868715038746,-1.3544460541288492,-1.7922821453764137,0.9432410877190565,-31699.292026034098,-1.3744917782365875,0.948419331984607,-2.0492040124899025,-3170.6755472021027, 0.9934193725697175
54,00000110110,0.724387166567205,-2.827555440926328,-5.256092220768164,-0.969399114944671,-0.382543364752729,0.7787664770904958,-2435.943865036774,-0.5679420163497386,-87.84511279377269,-0.3108340493959485,-253.26001903940264, -0.04635573761622247
69,00001000101,-0.34116798112403623,-6.182431038989158,-1.0864126242433634,-0.28124005203176705,-1.0013895255817475,0.8051876424180169,-3563.3417031384206,-0.14565856659242948,-4.883415166797796,-0.9425660673721081,-357.7400796518735, 0.6448851919815908
79,00001001111,0.6960450498614397,-2.8577037045234475,-5.269139026247121,-0.9681641695525713,-0.06728257402881077,-0.33385266819138626,-1.3227534407341315,-0.33334744944727057,-0.48075767771233724,-0.3333333393064264,-1.127028899988206, -0.02615484368224652
119,00001110111,-0.16407664594051585,-5.514902708583638,-1.8165044632136023,-2.953836537030796,-1.7921179256211324,-0.40259655558325247,-0.49864927381523194,-0.7060239607389369,-0.08261683457246538,-0.5589446214212233,-1.4490269526520794, 0.0021671844535898765
109,00001101101,0.7191820568996445,-2.8876739933230637,-5.269095660289624,-0.9682895686686561,-0.39429236106831045,0.7776792957486507,-2402.9927205519093,-1.0886722708535457,-91.82044457596925,-0.30729869413447775,-250.4231626323568, -0.0456297494511928
118,00001110110,-10.312749045902432,-7.0369143455598095,-1.8198157312483145,-1.448219188883968,-1.7922634224326495,-0.028244126074294718,-0.5873557479178424,-0.8502790771589033,-0.4923991473296019,-0.5981006548535859,-2.4966340487361407, -0.03628679929255285
563,01000110011,0.5747759873470568,-6.7176428297920365,-1.8109671705153465,-4.280309289626155,-1.792328160505137,0.8509109545011242,-9146950.042197952,-1.9349210801629062,0.9777574651834703,-2.8193814207664585,-914696.6994303496, 0.9967760060277858
126,00001111110,0.7141835718420178,-2.83514870743134,-5.2691398282246675,-0.9691289249407653,-0.4122014281468973,0.7765627130929547,-2425.8039017231713,-0.49875986356300817,-90.94813873225816,-0.2999894046739844,-252.5545662327475, -0.045943738532376655
58,00000111010,0.7066576249564047,-2.8793927778047235,-5.269139912916229,-0.9684216330377886,-0.4447839696829723,0.7851727481282114,-2405.525557142421,-0.3020388685958766,-75.88117900659289,-0.32754062003840856,-249.01062235580054, -0.053035198993104826
569,01000111001,0.8383516770769438,-11.777480054726613,-2.006837158584918,-9.265418129438286,-1.9821672847070344,0.9132302008369007,-11061467.59524842,-1.978163383333281,0.9305179182782237,-2.8017377715038996,-1106149.4724952406, 0.9975962276772052
42,00000101010,0.6718902444861754,-2.92929018987127,-5.26913991291622,-0.9687266116646154,-1.6860994583180395,0.8002172475313699,-2406.7973502114255,-0.26168295797136,-69.09204290527066,-0.32565568665164957,-248.58578804420722, -0.04982444105740336
123,00001111011,0.7464683621339464,-3.2870557757423926,-0.9638855418433889,-0.9612518120050595,-0.34540494780018194,0.7430242726955646,-25.81771140041992,-0.3270694301784771,-12.661246811032774,-0.3330294056543879,-4.320716248984707, -0.1020201957977942
56,00000111000,0.9055222276731817,-6.592527350266819,-1.8056322693224578,-45.53290918417238,-1.7923655872019677,-0.5923061578856617,-142.1693948157585,-1.7658601613787557,0.0671661705679707,-0.6822318402716521,-19.996053896801705, 0.13257051939142617
586,01001001010,-4.029511975872856,-5.1436172077532,-1.815083987181267,-3.2015435455049746,-1.7927547583556285,-0.3605488696307624,-0.3837469483733429,-0.4760512637658416,-0.37793719476051635,-0.34465205615257033,-1.792544780735096, -0.029018836900589706
571,01000111011,0.868910185593434,-3.5317343610194003,-0.9151366785267898,-0.32162966988257513,-0.8310143379561377,0.8486803423520364,-3184.6756551845156,-0.8679051012692549,-1.2714533682940954,-0.9024768804342369,-319.1599415053953, 0.6354432328088752
73,00001001001,-755.5759689241507,-6.0343611396208034,-1.8042078098861247,-4.674132266591406,-1.7923008546826744,0.9604743429758296,-12941071.516822005,-2.7643767065881035,0.9892220389395575,-1.357759616056999,-1294184.357023294, 0.9966604562516346
72,00001001000,0.7059684265514234,-2.930084684298876,-5.269139905503015,-0.9678002434812412,-0.4236690310109503,0.7799051851273027,-2412.3647133546147,-0.34521819341275384,-86.4464370091793,-0.2872707865795334,-250.75484595964014, -0.04510840352089707
87,00001010111,-4.216268264912667,-4.893347905793855,-1.807642692642252,-1.0647077688268936,-1.7922994830068308,-0.9035712858124012,-0.5544255787727344,-1.0872795968664932,-0.4746183897952403,-0.6841778793759172,-1.7478338845805284, -0.09024421444894637
101,00001100101,0.7190209082030198,-2.8883665266913776,-5.2691360826536435,-0.9682861937540241,-0.39433638280405714,0.7777572303249684,-2402.888337658086,-1.0524241920843078,-91.78310881457676,-0.30728088611088555,-250.40544985982328, -0.04562974868366876
585,01001001001,-388.2546073440809,-6.196289133387685,-1.8082485107717639,-4.405084136582142,-1.7922564802414387,0.9575545166855468,-23371408.84332401,-1.6399590448586006,0.9931783472577668,-2.7943677344902587,-2337181.378340353, 0.9970792152074628
59,00000111011,0.7019453708162768,-2.889071426477801,-5.269139912916227,-0.9684852903275891,-0.4509243453406564,0.7810771303325823,-2351.871527055101,-0.29589162202721253,-93.82324494442348,-0.32450077599059,-245.4409762871456, -0.05118452215586444
49,00000110001,0.7778793073066506,-7.017087347774124,-1.813161300894532,-4.769090926911327,-1.792311807971326,0.9935442290850222,-17655483.008240625,-1.9912661468581105,0.9746384147154987,-2.8702169643155595,-1765550.0515313172, 0.9971798453707563
78,00001001110,0.7082982961426547,-2.946252565394424,-5.258724184728055,-0.9672858398918049,-0.4296307353471267,0.7785114474450202,-2409.9140797219843,-0.8461081212917403,-87.30943493420914,-0.2874900076743041,-250.6472196366933, -0.044792017496774195
88,00001011000,0.7070309727966712,-2.948829596095925,-5.266763808684736,-0.9673288751237845,-0.4303054503225523,0.7801989233495742,-2408.6763499315443,-0.8875420510213805,-85.57266430174629,-0.2896462782358986,-250.3552200396629, -0.04486970790284994
55,00000110111,0.7246710484080092,-2.9233137553631314,-5.264175445529735,-0.9677701346882244,-0.3815300030932409,0.7793561531050588,-2404.009981760118,-0.9757538141228026,-85.44191956390108,-0.30998099751054053,-249.8770398272814, -0.04544845542231779
44,00000101100,-0.4449689457666113,-5.693712306725733,-1.028683706019561,-0.30666148686963335,-0.8905358118676308,0.8839391723291297,-2605.591230915784,-0.8777753615262489,-4.711698821370119,-0.9659869133638181,-261.9627315096965, 0.6187160971062593
122,00001111010,0.7029950297327665,-2.865805834194316,-5.269139912916229,-0.968507387853951,-0.5186249344201443,0.7816565577899407,-2384.391076357116,-0.2964771856923911,-90.382203094487,-0.3283945551144498,-248.35355776742716, -0.052775650244628824
63,00000111111,0.7267268646284906,-3.8205788778546745,-0.4538258835569424,-0.9593687202959724,-0.3349692425256181,0.7991454700477946,-2435.280282228949,-1.0383381574629138,-12.260817721843317,-0.30668941472316846,-245.29289979125355, -0.041918242721677546
81,00001010001,-0.05243052365212497,-5.352381238819684,-0.8696017817012136,-0.2932463314585294,-0.8226415296700027,0.9324188617016633,-3478.3378578585157,-0.5678865113687552,-1.3005228756240088,-0.8777458348580798,-348.7541895623967, 0.6424947256936065
83,00001010011,0.7115026939066855,-2.9877762757177107,-1.565534784777023,-0.9667498525590221,-0.35727635591993745,0.7912139866534242,-2405.126384984433,-1.966434779538253,-58.66770118790292,-0.2878034885796168,-247.04229450288676, -0.04459313198461112
47,00000101111,0.7235078590699013,-2.900920491036069,-5.260054833356791,-0.9681149524249435,-0.3840008994069204,0.7786102561354623,-2403.2118197103,-0.7587375334607067,-89.83581816419694,-0.31034144549724885,-250.21276899144746, -0.045643408558812215
