k_kinetics,ks_res,r2
"(0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0)","[ 1.31096409e-03  4.24152221e-06  1.20946620e-03 -5.49206154e-06
  3.60540274e-05 -2.89822341e-07  7.21653260e-04 -7.76142331e-03
  2.28319704e-02  4.93028174e-05 -1.93671937e-02]","0.7747968159399085"
"(0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1)","[ 1.31444068e-03  4.29961916e-06  1.21509820e-03 -5.56440512e-06
  3.60376269e-05 -2.89682374e-07  7.20395760e-04 -7.85968842e-03
  2.27707021e-02  4.91878144e-05 -3.17819790e-04]","0.7761710345332555"
"(0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0)","[ 1.81879220e-04  2.05019324e-06  2.33010496e-05 -2.76305698e-06
  3.91643613e-05 -3.16464122e-07  3.42741566e-04 -3.06759131e-02
  1.36464984e-02  5.36837394e-03 -2.25010602e-02]","0.8134556966512255"
"(0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1)","[ 1.81580451e-04  2.10323177e-06  2.34730747e-05 -2.82913190e-06
  3.91637130e-05 -3.16458738e-07  3.42748759e-04 -3.10516943e-02
  1.36468545e-02  5.36898343e-03 -3.69196299e-04]","0.8152546177756148"
"(0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0)","[ 6.95173741e-04  2.04969516e-06 -2.33380451e-04 -2.76248208e-06
  4.02485370e-05 -3.25507706e-07  3.50125525e-04 -3.12103024e-02
  1.33935879e-02  6.97351897e-05 -2.24985781e-02]","0.8119026524104419"
"(0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1)","[ 6.93445325e-04  2.10269770e-06 -2.32487397e-04 -2.82846601e-06
  4.02448496e-05 -3.25476969e-07  3.50110229e-04 -3.15853651e-02
  1.33946649e-02  6.97924880e-05 -3.69168945e-04]","0.8137053570660313"
"(0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0)","[ 1.32956244e-03  4.12839304e-06  6.05311149e-04 -5.35118412e-06
  3.77455210e-05 -3.04085431e-07  2.74519922e-04 -2.92876034e-02
  2.51354518e-02  3.01347241e-03 -2.24977114e-02]","0.7939692829118155"
"(0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1)","[ 1.33466481e-03  4.18532557e-06  6.08183853e-04 -5.42209771e-06
  3.77382713e-05 -3.04022422e-07  2.74246788e-04 -2.96185683e-02
  2.50822349e-02  3.00297554e-03 -3.68520589e-04]","0.7955721560103203"
"(0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0)","[ 1.78604992e-03  4.08821498e-06  3.54969486e-04 -5.30113952e-06
  3.87830089e-05 -3.12749924e-07  2.82938400e-04 -2.98129297e-02
  2.47163240e-02  3.35570327e-05 -2.24954716e-02]","0.7931992381210222"
"(0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1)","[ 1.78980832e-03  4.14529160e-06  3.58579535e-04 -5.37220697e-06
  3.87728673e-05 -3.12662823e-07  2.82640665e-04 -3.01433601e-02
  2.46643346e-02  3.34319741e-05 -3.68500888e-04]","0.794807119094892"
"(0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0)","[-2.48113996e-04  2.05793148e-06  6.57748254e-04 -2.77267417e-06
  3.71157501e-05 -2.99276973e-07  3.22563522e-04 -8.42095693e-03
  1.33999603e-02  6.25345740e-03 -2.00586589e-02]","0.7994225361321551"
"(0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1)","[-2.50079510e-04  2.11043394e-06  6.60405254e-04 -2.83805963e-06
  3.71070832e-05 -2.99204312e-07  3.22508636e-04 -8.53164319e-03
  1.33993703e-02  6.25748696e-03 -3.29505472e-04]","0.8010034794898675"
